Date,Daily new cases,7-day average,null,Deaths,7-day average
3/11/2020,0,0,0,0,0
3/12/2020,0,0,0,0,0
3/13/2020,0,0,0,0,0
3/14/2020,0,0,0,0,0
3/15/2020,0,0,0,0,0
3/16/2020,3,0.5,0,0,0
3/17/2020,2,0.7142857143,0,0,0
3/18/2020,2,0.7142857143,0,0,0
3/19/2020,7,1,0,0,0
3/20/2020,1,2,0,0,0
3/21/2020,6,2.142857143,0,0,0
3/22/2020,7,3,0,0,0
3/23/2020,13,4,0,0,0
3/24/2020,10,5.428571429,0,0,0
3/25/2020,17,6.571428571,0,0,0
3/26/2020,5,8.714285714,0,0,0
3/27/2020,17,8.428571429,0,0,0
3/28/2020,20,10.71428571,0,0,0
3/29/2020,12,12.71428571,0,0,0
3/30/2020,5,13.42857143,0,0,0
3/31/2020,20,12.28571429,0,0,0
4/1/2020,26,13.71428571,0,0,0
4/2/2020,20,15,0,0,0
4/3/2020,14,17.14285714,0,0,0
4/4/2020,29,16.71428571,0,0,0
4/5/2020,26,18,0,0,0
4/6/2020,31,20,0,0,0
4/7/2020,17,23.71428571,0,0,0
4/8/2020,32,23.28571429,0,1,0
4/9/2020,31,24.14285714,0,1,0.1428571429
4/10/2020,34,25.71428571,0,0,0.2857142857
4/11/2020,21,28.57142857,0,0,0.2857142857
4/12/2020,17,27.42857143,0,0,0.2857142857
4/13/2020,29,26.14285714,0,1,0.2857142857
4/14/2020,43,25.85714286,0,0,0.4285714286
4/15/2020,32,29.57142857,0,0,0.4285714286
4/16/2020,30,29.57142857,0,0,0.2857142857
4/17/2020,27,29.42857143,0,1,0.1428571429
4/18/2020,43,28.42857143,0,3,0.2857142857
4/19/2020,26,31.57142857,0,2,0.7142857143
4/20/2020,46,32.85714286,0,0,1
4/21/2020,16,35.28571429,0,1,0.8571428571
4/22/2020,35,31.42857143,0,2,1
4/23/2020,55,31.85714286,0,4,1.285714286
4/24/2020,23,35.42857143,0,0,1.857142857
4/25/2020,15,34.85714286,0,6,1.714285714
4/26/2020,8,30.85714286,0,2,2.142857143
4/27/2020,27,28.28571429,0,0,2.142857143
4/28/2020,15,25.57142857,0,3,2.142857143
4/29/2020,20,25.42857143,0,1,2.428571429
4/30/2020,12,23.28571429,0,0,2.285714286
5/1/2020,12,17.14285714,0,1,1.714285714
5/2/2020,4,15.57142857,0,2,1.857142857
5/3/2020,8,14,0,6,1.285714286
