Date,Total in hospital (both ICU and non-ICU)
"January 15, 2022",58
"January 14, 2022",57
"January 13, 2022",59
"January 12, 2022",60
"January 11, 2022",58
"January 10, 2022",59
"January 9, 2022",48
"January 8, 2022",48
"January 7, 2022",48
"January 6, 2022",48
"January 5, 2022",45
"January 4, 2022",40
"January 3, 2022",36
"January 2, 2022",34
"January 1, 2022",34
"December 31, 2021",34
"December 30, 2021",25
"December 29, 2021",24
"December 28, 2021",15
"December 27, 2021",15
"December 26, 2021",15
"December 25, 2021",15
"December 24, 2021",15
"December 23, 2021",14
"December 22, 2021",10
"December 21, 2021",9
"December 20, 2021",9
"December 19, 2021",7
"December 18, 2021",7
"December 17, 2021",7
"December 16, 2021",6
"December 15, 2021",6
"December 14, 2021",6
"December 13, 2021",6
"December 12, 2021",8
"December 11, 2021",8
"December 10, 2021",8
"December 9, 2021",9
"December 8, 2021",11
"December 7, 2021",11
"December 6, 2021",11
"December 5, 2021",13
"December 4, 2021",13
"December 3, 2021",13
"December 2, 2021",13
"December 1, 2021",15
"November 30, 2021",13
"November 29, 2021",13
"November 28, 2021",14
"November 27, 2021",14
"November 26, 2021",14
"November 25, 2021",17
"November 24, 2021",18
"November 23, 2021",18
"November 22, 2021",16
"November 21, 2021",15
"November 20, 2021",15
"November 19, 2021",15
"November 18, 2021",17
"November 17, 2021",17
"November 16, 2021",16
"November 15, 2021",16
"November 14, 2021",10
"November 13, 2021",10
"November 12, 2021",10
"November 11, 2021",10
"November 10, 2021",10
"November 9, 2021",10
"November 8, 2021",9
"November 7, 2021",9
"November 6, 2021",9
"November 5, 2021",9
"November 4, 2021",9
"November 3, 2021",8
"November 2, 2021",8
"November 1, 2021",10
"October 31, 2021",10
"October 30, 2021",10
"October 29, 2021",10
"October 28, 2021",10
"October 27, 2021",10
"October 26, 2021",10
"October 25, 2021",11
"October 24, 2021",11
"October 23, 2021",11
"October 22, 2021",11
"October 21, 2021",15
"October 20, 2021",16
"October 19, 2021",14
"October 18, 2021",15
"October 17, 2021",14
"October 16, 2021",14
"October 15, 2021",14
"October 14, 2021",12
"October 13, 2021",16
"October 12, 2021",15
"October 11, 2021",15
"October 10, 2021",15
"October 9, 2021",15
"October 8, 2021",15
"October 7, 2021",16
"October 6, 2021",15
"October 5, 2021",17
"October 4, 2021",16
"October 3, 2021",11
"October 2, 2021",11
"October 1, 2021",11
"September 30, 2021",12
"September 29, 2021",12
"September 28, 2021",13
"September 27, 2021",11
"September 26, 2021",15
"September 25, 2021",15
"September 24, 2021",15
